zip,lat,lng,city,population,county_name
60616,41.84522,-87.62721,Chicago,54464,Cook
60617,41.71591,-87.55431,Chicago,82534,Cook
60618,41.94696,-87.70262,Chicago,94395,Cook
60619,41.74373,-87.60549,Chicago,61258,Cook
60620,41.7408,-87.6525,Chicago,68096,Cook
60621,41.77638,-87.63944,Chicago,29042,Cook
60622,41.90274,-87.68331,Chicago,52793,Cook
60623,41.84808,-87.71778,Chicago,85979,Cook
60624,41.88056,-87.72335,Chicago,36158,Cook
60625,41.97335,-87.70014,Chicago,79243,Cook
60626,42.00903,-87.66963,Chicago,49730,Cook
60628,41.69182,-87.61797,Chicago,66724,Cook
60629,41.77567,-87.71176,Chicago,111850,Cook
60630,41.97215,-87.75706,Chicago,57344,Cook
60631,41.99475,-87.81316,Chicago,29529,Cook
60632,41.81133,-87.71335,Chicago,91039,Cook
60633,41.66435,-87.56136,Chicago,12871,Cook
60634,41.94635,-87.8061,Chicago,75995,Cook
60636,41.77576,-87.66912,Chicago,32203,Cook
60637,41.78143,-87.60318,Chicago,47454,Cook
60638,41.78145,-87.77056,Chicago,58797,Cook
60639,41.92056,-87.75603,Chicago,90517,Cook
60640,41.97236,-87.66347,Chicago,69715,Cook
60641,41.94659,-87.74676,Chicago,71023,Cook
60642,41.90161,-87.65803,Chicago,20201,Cook
60643,41.69957,-87.66277,Chicago,49870,Cook
60644,41.88021,-87.75746,Chicago,47712,Cook
60645,42.00853,-87.69481,Chicago,47732,Cook
60646,41.99304,-87.75962,Chicago,27987,Cook
60647,41.92068,-87.70167,Chicago,87509,Cook
60649,41.76303,-87.57031,Chicago,46024,Cook
60651,41.90206,-87.74095,Chicago,63218,Cook
60652,41.74795,-87.71479,Chicago,43907,Cook
60653,41.81925,-87.61008,Chicago,31972,Cook
60654,41.89227,-87.63729,Chicago,19135,Cook
60655,41.69476,-87.70379,Chicago,28804,Cook
60656,41.97424,-87.82692,Chicago,27579,Cook
60657,41.93998,-87.65374,Chicago,70052,Cook
60659,41.99108,-87.70416,Chicago,41068,Cook
60660,41.9911,-87.66604,Chicago,43242,Cook
60661,41.88307,-87.64401,Chicago,9926,Cook
60706,41.96425,-87.81624,Harwood Heights,23301,Cook
60707,41.92181,-87.80724,Elmwood Park,43019,Cook
60712,42.00545,-87.7333,Lincolnwood,12539,Cook
60714,42.02805,-87.81098,Niles,29743,Cook
60803,41.6721,-87.73568,Alsip,22390,Cook
60804,41.83783,-87.76014,Cicero,83147,Cook
60805,41.722,-87.70244,Evergreen Park,19666,Cook
60827,41.64956,-87.63016,Riverdale,28577,Cook
60901,41.11084,-87.89814,Kankakee,35509,Kankakee
60910,41.07877,-87.80859,Aroma Park,671,Kankakee
60911,40.87804,-87.98023,Ashkum,1308,Iroquois
60912,40.97003,-87.59935,Beaverville,521,Iroquois
60913,41.14701,-88.06177,Bonfield,1409,Kankakee
60914,41.18671,-87.86195,Bourbonnais,29969,Kankakee
60915,41.14681,-87.86108,Bradley,10121,Kankakee
60917,41.04413,-88.18728,Buckingham,529,Kankakee
60918,40.5962,-88.03048,Buckley,777,Iroquois
60919,40.98745,-88.23833,Cabery,481,Ford
60920,41.02926,-88.30496,Campus,199,Livingston
60921,40.73772,-88.28785,Chatsworth,1517,Livingston
60922,41.00414,-87.91867,Chebanse,2389,Kankakee
60924,40.55778,-87.88532,Cissna Park,1485,Iroquois
60926,40.57234,-87.80962,Claytonville,35,Iroquois
60927,40.9393,-87.968,Clifton,2106,Iroquois
60928,40.74165,-87.84902,Crescent City,775,Iroquois
60929,40.87498,-88.28917,Cullom,803,Livingston
60930,40.82989,-88.00256,Danforth,925,Iroquois
60931,40.89038,-87.58523,Donovan,537,Iroquois
60932,40.46333,-87.80563,East Lynn,92,Vermilion
60933,40.4647,-88.27192,Elliott,312,Ford
60934,40.96171,-88.3512,Emington,259,Livingston
60935,41.17296,-88.17609,Essex,1210,Kankakee
60936,40.46679,-88.35707,Gibson City,4103,Ford
60938,40.77328,-87.98865,Gilman,1959,Iroquois
60940,41.2506,-87.64282,Grant Park,3433,Kankakee
60941,41.04201,-88.0821,Herscher,2180,Kankakee
60942,40.46563,-87.66092,Hoopeston,5871,Vermilion
60945,40.82805,-87.58414,Iroquois,175,Iroquois
60946,40.91651,-88.20291,Kempton,445,Ford
60948,40.52548,-88.08197,Loda,1496,Iroquois
60949,40.38217,-88.10288,Ludlow,535,Champaign
60950,41.25119,-87.88445,Manteno,11803,Kankakee
60951,40.92137,-87.75109,Martinton,825,Iroquois
60952,40.56446,-88.25279,Melvin,686,Ford
60953,40.62991,-87.68811,Milford,2449,Iroquois
60954,41.15338,-87.62902,Momence,5846,Kankakee
60955,40.69739,-87.97655,Onarga,1614,Iroquois
60957,40.44296,-88.13625,Paxton,5288,Ford
60958,41.06492,-87.59135,Pembroke Township,1784,Kankakee
60959,40.7897,-88.18201,Piper City,1060,Ford
60960,40.43873,-87.88999,Rankin,1092,Vermilion
60961,41.10651,-88.23084,Reddick,725,Kankakee
60962,40.62283,-88.18445,Roberts,645,Ford
60963,40.36667,-87.6485,Rossville,1895,Vermilion
60964,41.0355,-87.73825,Saint Anne,5070,Kankakee
60966,40.75153,-87.58316,Sheldon,1626,Iroquois
60968,40.67241,-88.12066,Thawville,335,Iroquois
60969,41.11102,-88.14976,Union Hill,58,Kankakee
60970,40.79334,-87.73841,Watseka,6948,Iroquois
60973,40.54174,-87.66313,Wellington,411,Iroquois
60974,40.71892,-87.734,Woodland,294,Iroquois
61001,42.46094,-90.12455,Apple River,1042,Jo Daviess
61006,41.86055,-89.2095,Ashton,1905,Lee
61007,42.19772,-89.58953,Baileyville,507,Ogle
61008,42.24513,-88.8407,Belvidere,34292,Boone
61010,42.13571,-89.26789,Byron,7805,Ogle
61011,42.38959,-88.91288,Caledonia,2326,Boone
61012,42.40745,-88.75447,Capron,2432,Boone
61013,42.37449,-89.63715,Cedarville,504,Stephenson
61014,41.97472,-89.8845,Chadwick,1289,Carroll
61015,41.99298,-89.20197,Chana,1107,Ogle
61016,42.19809,-88.94722,Cherry Valley,4962,Winnebago
61018,42.41525,-89.55523,Dakota,1002,Stephenson
61019,42.44146,-89.41007,Davis,3244,Stephenson
61020,42.1102,-89.09822,Davis Junction,3131,Ogle
61021,41.82967,-89.47908,Dixon,23031,Lee
61024,42.43652,-89.29054,Durand,2534,Winnebago
61025,42.47125,-90.56021,East Dubuque,4645,Jo Daviess
61027,42.33104,-89.75748,Eleroy,77,Stephenson
61028,42.29175,-90.16947,Elizabeth,2051,Jo Daviess
61030,42.11513,-89.58891,Forreston,2302,Ogle
61031,41.83081,-89.31307,Franklin Grove,1541,Lee
61032,42.31635,-89.63525,Freeport,29896,Stephenson
61036,42.4152,-90.39115,Galena,6620,Jo Daviess
61037,41.78938,-89.76032,Galt,55,Whiteside
61038,42.26346,-88.73574,Garden Prairie,1149,Boone
61039,42.20887,-89.46757,German Valley,1012,Stephenson
61041,42.27611,-90.30158,Hanover,959,Jo Daviess
61042,41.68764,-89.56374,Harmon,605,Lee
61043,42.05644,-89.10523,Holcomb,76,Ogle
61044,42.31877,-89.91503,Kent,277,Stephenson
61046,42.10435,-89.81366,Lanark,2451,Carroll
61047,42.15314,-89.39588,Leaf River,1839,Ogle
61048,42.38352,-89.83554,Lena,3876,Stephenson
61049,42.04419,-89.00756,Lindenwood,560,Ogle
61050,42.44031,-89.73417,Mc Connell,445,Stephenson
61051,41.98279,-89.75494,Milledgeville,1688,Carroll
61052,42.11139,-88.99956,Monroe Center,821,Ogle
61053,42.11431,-89.98216,Mount Carroll,2612,Carroll
61054,42.05493,-89.44951,Mount Morris,3674,Ogle
61057,41.82927,-89.38209,Nachusa,111,Lee
61059,42.45315,-89.94015,Nora,212,Jo Daviess
61060,42.47813,-89.62192,Orangeville,1425,Stephenson
61061,42.00025,-89.33982,Oregon,6382,Ogle
61062,42.25279,-89.84133,Pearl City,1803,Stephenson
61063,42.31215,-89.34733,Pecatonica,4260,Winnebago
61064,41.98783,-89.58238,Polo,3640,Ogle
61065,42.40752,-88.82753,Poplar Grove,10360,Boone
61067,42.30445,-89.47745,Ridott,752,Stephenson
61068,41.94846,-89.06437,Rochelle,14289,Ogle
61070,42.41685,-89.47312,Rock City,1503,Stephenson
61071,41.72702,-89.70447,Rock Falls,13997,Whiteside
61072,42.44689,-89.1411,Rockton,11565,Winnebago
61073,42.42472,-88.99358,Roscoe,19165,Winnebago
61074,42.12556,-90.12983,Savanna,4188,Carroll
61075,42.46444,-90.25896,Scales Mound,992,Jo Daviess
61077,42.23815,-89.35781,Seward,36,Winnebago
61078,42.16596,-89.72906,Shannon,1253,Carroll
61079,42.43927,-89.20763,Shirland,170,Winnebago
61080,42.47972,-88.98721,South Beloit,10440,Winnebago
61081,41.84394,-89.73537,Sterling,21129,Whiteside
61084,42.11845,-89.18869,Stillman Valley,3085,Ogle
61085,42.34186,-90.03219,Stockton,3629,Jo Daviess
61087,42.4802,-89.99263,Warren,1493,Jo Daviess
61088,42.26887,-89.25569,Winnebago,6052,Winnebago
61089,42.47336,-89.81935,Winslow,728,Stephenson
61091,41.90686,-89.52753,Woosung,45,Ogle
61101,42.33749,-89.1485,Rockford,19546,Winnebago
61102,42.22959,-89.15734,Rockford,17760,Winnebago
61103,42.34625,-89.08225,Rockford,23964,Winnebago
61104,42.25191,-89.07895,Rockford,19454,Winnebago
61107,42.28364,-89.00326,Rockford,30905,Winnebago
61108,42.25484,-89.00392,Rockford,27819,Winnebago
61109,42.19261,-89.05347,Rockford,27224,Winnebago
61111,42.33538,-89.0037,Loves Park,23837,Winnebago
61112,42.24192,-88.97518,Rockford,66,Winnebago
61114,42.30841,-88.99096,Rockford,15591,Winnebago
61115,42.36385,-89.02865,Machesney Park,22574,Winnebago
61201,41.4778,-90.57675,Rock Island,38385,Rock Island
61230,41.73914,-90.21405,Albany,1121,Whiteside
61231,41.20973,-90.72473,Aledo,5213,Mercer
61232,41.43073,-90.73249,Andalusia,1229,Rock Island
61234,41.42078,-89.91831,Annawan,1267,Henry
61235,41.39966,-90.02349,Atkinson,1519,Henry
61236,41.51381,-90.36074,Barstow,123,Rock Island
61238,41.28774,-90.17386,Cambridge,3534,Henry
61239,41.48602,-90.38758,Carbon Cliff,1239,Rock Island
61240,41.42551,-90.42974,Coal Valley,6138,Rock Island
61241,41.4885,-90.32095,Colona,6827,Henry
61242,41.70363,-90.27858,Cordova,1208,Rock Island
61243,41.61876,-89.68295,Deer Grove,248,Whiteside
61244,41.52336,-90.39469,East Moline,23679,Rock Island
61250,41.65893,-90.10305,Erie,2502,Whiteside
61251,41.7306,-90.07578,Fenton,337,Whiteside
61252,41.84323,-90.11799,Fulton,5341,Whiteside
61254,41.4686,-90.15092,Geneseo,11004,Henry
61256,41.55916,-90.4015,Hampton,1962,Rock Island
61257,41.59056,-90.22272,Hillsdale,1198,Rock Island
61258,41.52185,-89.91396,Hooppole,236,Henry
61259,41.38819,-90.93155,Illinois City,1283,Rock Island
61260,41.24626,-90.88299,Joy,1062,Mercer
61261,41.72562,-89.91592,Lyndon,934,Whiteside
61262,41.2805,-90.35675,Lynn Center,1123,Henry
61263,41.25884,-90.60477,Matherville,743,Mercer
61264,41.3968,-90.59173,Milan,10621,Rock Island
61265,41.482,-90.49016,Moline,43706,Rock Island
61270,41.82973,-89.96639,Morrison,7007,Whiteside
61272,41.24656,-91.00568,New Boston,1198,Mercer
61273,41.36288,-90.39892,Orion,3243,Henry
61274,41.36857,-90.27707,Osco,201,Henry
61275,41.59984,-90.29836,Port Byron,4750,Rock Island
61276,41.30407,-90.58989,Preemption,110,Mercer
61277,41.6067,-89.93166,Prophetstown,3245,Whiteside
61278,41.58206,-90.33672,Rapids City,479,Rock Island
61279,41.32054,-90.72683,Reynolds,870,Rock Island
61281,41.29689,-90.51976,Sherrard,2394,Mercer
61282,41.49557,-90.41302,Silvis,7820,Rock Island
61283,41.59188,-89.78657,Tampico,1742,Whiteside
61284,41.39364,-90.74672,Taylor Ridge,2110,Rock Island
